Rank,FAA Region,ST,Locid,City,Airport Name,Service Level,Hub,CY 14 Enplanements,CY 13 Enplanements,percent_change
519,GL,ND,JMS,Jamestown,Jamestown Regional,CS,None,"3,207","2,449",30.95%
520,AL,AK,KVL,Kivalina,Kivalina,CS,None,"3,171","2,975",6.59%
521,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,"3,101","5,789",-46.43%
522,EA,PA,AOO,Altoona,Altoona-Blair County,CS,None,"3,090","3,701",-16.51%
524,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,"3,074","2,786",10.34%
525,AL,AK,KLG,Kalskag,Kalskag,CS,None,"3,060","3,127",-2.14%
526,EA,WV,BKW,Beckley,Raleigh County Memorial,CS,None,"3,053","3,824",-20.16%
527,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,None,"3,050","2,679",13.85%
529,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,None,"3,027","2,811",7.68%
532,AL,AK,TLT,Tuluksak,Tuluksak,CS,None,"2,994","2,641",13.37%
533,GL,MI,PTK,Pontiac,Oakland County International,CS,None,"2,984","2,762",8.04%
534,AL,AK,MCG,McGrath,McGrath,CS,None,"2,968","3,658",-18.86%
535,AL,AK,4A2,Atmautluak,Atmautluak,CS,None,"2,959","2,500",18.36%
537,AL,AK,BTI,Kaktovik,Barter Island LRRS,CS,None,"2,925","2,382",22.80%
538,AL,AK,6R7,Old Harbor,Old Harbor,CS,None,"2,913","2,870",1.50%
539,AL,AK,CGA,Craig,Craig,CS,None,"2,869","3,387",-15.29%
540,AL,AK,EWU,Newtok,Newtok,CS,None,"2,841","2,744",3.53%
542,EA,PA,LNS,Lititz,Lancaster,CS,None,"2,767","2,495",10.90%
544,AL,AK,KTB,Thorne Bay,Thorne Bay,CS,None,"2,744","2,681",2.35%
545,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,"2,727","2,676",1.91%
546,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,"2,703","2,490",8.55%
547,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,"2,596","2,272",14.26%
548,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,None,"2,595","2,336",11.09%
549,GL,MI,IWD,Ironwood,Gogebic-Iron County,CS,None,"2,540","2,515",0.99%
550,NM,MT,GDV,Glendive,Dawson Community,CS,None,"2,519",703,258.32%
